case,foreground_completed,background_completed,foreground_first_ms,foreground_last_ms,foreground_aggregate_gbps,receiver_128_port0_rx_gbps,receiver_max_data_gap_us,node512_port0_max_queue_bytes,inflight_limit,max_outstanding_src0,window_full_time_us_src0,admission_span_us_src0,max_admission_gap_us_src0,taack_samples_src0,taack_median_us_src0,taack_p99_us_src0,taack_max_us_src0
no-bg,4,0,2.7084484000000004,2.70960536,396.2724018231201,400.0,0.08264000000008309,nan,512,512,2636.0557599999997,2636.0557599999997,44.46031999999968,8192,0.7059199999999919,0.7059200000005603,0.7069200000005367
reverse-shared-fanin08,4,32,2.53070152,4.063631,264.2321175323251,282.11,58.28767999999991,nan,512,512,3838.34836,3838.34836,95.44748000000004,8192,83.43180000000012,267.9050400000001,294.5804799999996
reverse-shared-fanin08-window1024,4,32,2.65550996,3.2255279999999997,332.88870039261786,373.67,49.78099999999995,nan,1024,1024,2896.12252,2896.12252,98.56875999999966,8192,87.68927999999994,279.3215200000002,327.42051999999967
reverse-shared-fanin08-fgprio1,4,32,2.70751136,2.7098237600000004,396.2404639923889,400.0,0.08264000000008309,nan,512,512,2676.63836,2676.63836,34.25044000000025,8192,0.8487199999999575,1.0682399999998324,1.154040000000009
