case,start_spread_us,completed,fct_median_us,fct_p95_us,fct_p99_us,fct_max_us,fct_cv,job_makespan_us,aggregate_payload_gbps,receiver_128_port0_rx_gbps,receiver_max_data_gap_us,node520_port0_max_queue_bytes,node520_port0_queue_above_1mib_us,node520_port0_queue_nonempty_us,node520_port0_min_cbfc_credits,node520_port0_cbfc_events,p99_vs_sync
sync,0.0,64,1349.72284,1355.13576,1355.6316,1355.6316,0.006474821694833136,1355.6316,396.03009549202017,400.0,0.08264000000008309,16379248.0,1331.66196,1353.89212,5401,20887,1.0
spread100,100.0,64,807.56032,1262.328508,1263.2889730000002,1263.2889730000002,0.5235940461702633,1355.6316,396.03009549202017,400.0,0.08264000000008309,16375116.0,1329.2654,1353.89212,5401,20884,0.9318822112143154
spread500,500.0,64,585.08224,913.094011,922.4384670000001,922.4384670000001,0.5408623109411497,1355.6316,396.03009549202017,400.0,0.08264000000008309,16350324.0,1322.485852,1353.89212,5401,20891,0.6804492216026833
spread1500,1500.0,64,22.813679999999977,22.81368000000009,22.81468000000001,22.81468000000001,5.436190380806678e-06,1522.81368,352.5519366230017,356.04,2.736324000000195,789212.0,0.0,1348.7487999999998,5401,20885,0.016829557528756346
