case,mice_completed,elephants_completed,mice_fct_median_us,mice_fct_p95_us,mice_fct_p99_us,mice_fct_max_us,mice_fct_cv,mice_completion_spread_us,mice_payload_gbps,receiver_128_port0_rx_gbps,receiver_max_data_gap_us,node520_port0_max_queue_bytes,node520_port0_queue_above_1mib_us,node520_port0_queue_nonempty_us,node520_port0_min_cbfc_credits,node520_port0_cbfc_events,mice_p99_slowdown
mice-only,32,0,168.96252,170.82191999999998,170.90456,170.90456,0.011673874409484072,9.173040000000015,392.66865670523947,400.0,0.08264000000002625,7854932.0,146.93492,169.16508000000002,5401,2608,1.0
elephant-disjoint,32,8,168.96252,170.82191999999998,170.90456,170.90456,0.011673874409484072,9.173040000000015,392.66865670523947,400.0,0.08264000000002625,7854932.0,146.93492,169.16508000000002,5401,2608,1.0
elephant-shared,32,8,666.5323599999999,767.31184,773.92304,773.92304,0.06447778172734288,183.62608,86.7125806204193,400.0,0.08264000000008309,16350324.0,2854.8824400000003,2877.1126,5401,44516,4.528393156976034
elephant-shared-mice-vl1,32,8,168.87428,170.98160000000001,171.06423999999998,171.06423999999998,0.0171120569685251,12.065439999999967,392.3021199521303,400.0,0.08264000000008309,21978108.0,2853.6347599999995,2877.1125999999995,5401,44514,1.00093432264183
