case,background_flows,completed,foreground_first_ms,foreground_median_ms,foreground_p99_ms,foreground_last_ms,foreground_spread_ms,nominal_foreground_gbps,measured_foreground_payload_gbps,foreground_vs_nominal_pct,ideal_foreground_wire_ms,receiver_wire_utilization_pct
bg000,0,128,79.89279888,85.78540276,86.65597384,86.65605648,6.7632575999999975,400.0,396.50706209934833,99.12676552483708,86.65432064000001,99.99799686245773
bg043,43,171,108.59512664,114.55342931999999,115.66572239999999,115.66580504000001,7.070678400000005,299.41520467836256,297.06046965321843,99.21355529433663,115.76475648,99.99909424030727
bg128,128,256,165.06675743999998,172.01983912000003,173.2096072,173.20968984,8.142932400000019,200.0,198.37076320464126,99.18538160232063,173.30864128000002,99.99939497901072
bg383,383,511,330.3516332,341.70661712000003,345.79779296,345.79795824,15.446325040000024,100.19569471624266,99.36362418933871,99.16955461084392,345.94029568,99.99969689659318
