case,foreground_completed,background_completed,foreground_first_ms,foreground_last_ms,foreground_aggregate_gbps,receiver_128_port0_rx_gbps,receiver_max_data_gap_us,node512_port0_max_queue_bytes,inflight_limit,max_outstanding_src0,window_full_time_us_src0,admission_span_us_src0,max_admission_gap_us_src0,taack_samples_src0,taack_median_us_src0,taack_p99_us_src0,taack_max_us_src0
no-bg,4,0,2.70927016,2.70968336,396.26099486399033,400.0,0.08264000000031047,40,512,512,2670.42936,2670.42936,12.06544000000008,8192,0.744920000000036,0.7449200000000928,0.7549200000003111
reverse-disjoint,4,64,2.70943884,2.71083372,396.09283892189444,400.0,0.08264000000031047,72,512,512,2671.7516,2671.7516,15.19916000000012,8192,0.7449200000000928,1.8126399999999876,4.9529600000000755
reverse-shared-fanin01,4,4,2.73695348,2.74266188,391.49624378780516,400.0,0.08264000000008309,426148,512,512,2642.3534,2642.3534,77.41847999999982,8192,2.6871600000000626,41.39956000000001,45.31107999999995
reverse-shared-fanin04,4,16,2.88577796,3.0514326,351.88121933284714,376.06,16.317360000000008,3983988,512,512,2712.29612,2712.29612,101.10148000000001,8192,45.07245999999999,175.31844,181.3153199999997
reverse-shared-fanin08,4,32,3.68847372,3.89214604,275.8739813370415,299.41,26.66020000000003,5074860,512,512,3607.20172,3607.20172,82.05851999999999,8192,70.36496,268.39908000000014,280.3084399999998
reverse-shared-fanin08-window1024,4,32,2.90297196,3.00526652,357.28672211075644,399.66,2.317199999999957,4888156,1024,1024,2675.27036,2675.27036,85.67471999999998,8192,75.52759999999996,267.3037999999997,299.55924000000005
reverse-shared-fanin08-fgprio1,4,32,2.70955892,2.70986868,396.2338957325415,400.0,0.08264000000008309,4665028,512,512,2679.80556,2679.80556,16.74944000000005,8192,0.8640800000001718,1.0634000000000015,1.1792399999999361
reverse-shared-fanin08-bgprio6,4,32,7.831534120000001,7.8362446,137.02249978261273,138.25,4991.20692,4024460,512,512,7748.39828,7748.39828,5160.371,8192,0.7449200000000928,5176.32432,5229.86352
reverse-shared,4,64,3.1870834799999996,3.67372284,292.2762197270168,321.43,61.84384,4331292,512,512,3120.62716,3120.62716,81.13644,8192,74.06824,241.55963999999994,268.9314800000002
